x,z,dist,ne
69040.7884943001,-25.291867251679,463,0
69041.7884943001,-25.279832480301,464,0
69042.7884943001,-25.2677977089218,465,0
69043.7884943001,-25.2557629375438,466,0
69044.7884943001,-25.2437281661646,467,0
69045.7884943001,-25.2316933947863,468,0
69046.7884943001,-25.2196586234072,469,0
69047.7884943001,-25.2076238520292,470,0
69048.7884943001,-25.19558908065,471,0
69049.7884943001,-25.183554309272,472,0
69050.7884943001,-25.1715195378928,473,0
69051.7884943001,-25.1594847665148,474,0
69052.7884943001,-25.1474499951354,475,0
69053.7884943001,-25.1354152237574,476,0
69054.7884943001,-25.1233804523783,477,0
69055.7884943001,-25.1113456810002,478,0
69056.7884943001,-25.099310909621,479,0
69057.7884943001,-25.087276138243,480,0
69058.7884943001,-25.0752413668648,481,0
69059.7884943001,-25.0632065954856,482,0
69060.7884943001,-25.0511718241064,483,0
69061.7884943001,-25.0391370527285,484,0
69062.7884943001,-25.0271022813493,485,0
69063.7884943001,-25.0150675099713,486,0
69064.7884943001,-25.0030327385931,487,0
69065.7884943001,-24.9909979672139,488,0
69066.7884943001,-24.9789631958359,489,0
69067.7884943001,-24.9669284244567,490,0
69068.7884943001,-24.9548936530786,491,0
69069.7884943001,-24.9428588816995,492,0
69070.7884943001,-24.9308241103213,493,0
69071.7884943001,-24.9187893389421,494,0
69072.7884943001,-24.9067545675641,495,0
69073.7884943001,-24.8947197961849,496,0
69074.7884943001,-24.8826850248069,497,0
69075.7884943001,-24.8706502534277,498,0
69076.7884943001,-24.8586154820497,499,0
69077.7884943001,-24.8465807106704,500,0
69078.7884943001,-24.8345459392923,501,0
69079.7884943001,-24.8225111679132,502,0
69080.7884943001,-24.8104763965351,503,0
69081.7884943001,-24.7984416251559,504,0
69082.7884943001,-24.7864068537779,505,0
69083.7884943001,-24.7743720823988,506,0
69084.7884943001,-24.7623373110206,507,0
69085.7884943001,-24.7503025396414,508,0
69086.7884943001,-24.7382677682634,509,0
69087.7884943001,-24.7262329968842,510,0
69088.7884943001,-24.7141982255061,511,0
69089.7884943001,-24.7021634541269,512,0
69090.7884943001,-24.6901286827488,513,0
69091.7884943001,-24.6780939113708,514,0
69092.7884943001,-24.6660591399916,515,0
69093.7884943001,-24.65403298699,516,0
69094.7884943001,-24.6422936871187,517,0
69095.7884943001,-24.6305543872483,518,0
69096.7884943001,-24.618815087377,519,0
69097.7884943001,-24.6070757875067,520,0
69098.7884943001,-24.5953364876354,521,0
69099.7884943001,-24.5835971877652,522,0
69100.7884943001,-24.5718578878938,523,0
69101.7884943001,-24.5601185880237,524,0
69102.7884943001,-24.5483792881521,525,0
69103.7884943001,-24.5366399882819,526,0
69104.7884943001,-24.5249006884106,527,0
69105.7884943001,-24.5131613885404,528,0
69106.7884943001,-24.5014220886691,529,0
